timestamp,mode,result,steps,target_color,cup_init_x,cup_init_y,cup_init_z
2026-02-08 21:27:21,arm,fail,529,unknown,nan,nan,nan
2026-02-08 21:48:10,arm,fail,532,unknown,nan,nan,nan
2026-02-08 21:48:36,arm,success,214,red,0.181520,0.171903,0.845000
2026-02-08 21:49:36,arm,fail,537,unknown,nan,nan,nan
2026-02-08 21:50:36,arm,fail,529,unknown,nan,nan,nan
2026-02-08 21:51:36,arm,fail,535,unknown,nan,nan,nan
2026-02-08 21:51:56,arm,success,169,blue,0.250099,0.244848,0.845000
2026-02-08 21:52:56,arm,fail,535,unknown,nan,nan,nan
2026-02-08 21:53:56,arm,fail,536,unknown,nan,nan,nan
2026-02-08 21:54:57,arm,fail,535,unknown,nan,nan,nan
2026-02-08 21:55:27,arm,success,252,blue,0.264130,0.229641,0.845000
2026-02-08 21:56:27,arm,fail,539,unknown,nan,nan,nan
2026-02-08 21:56:53,arm,success,207,red,0.189340,0.163250,0.845000
2026-02-08 21:57:54,arm,fail,532,unknown,nan,nan,nan
2026-02-08 21:58:54,arm,fail,531,unknown,nan,nan,nan
2026-02-08 21:59:22,arm,success,234,blue,0.267655,0.225523,0.845000
2026-02-08 22:00:00,arm,success,313,red,0.220244,0.118290,0.845000
2026-02-08 22:00:32,arm,success,256,blue,0.266014,0.227457,0.845000
2026-02-08 22:01:32,arm,fail,530,unknown,nan,nan,nan
2026-02-08 22:02:32,arm,fail,527,unknown,nan,nan,nan
2026-02-08 22:02:58,arm,success,209,red,0.197050,0.153855,0.845000
2026-02-08 22:03:58,arm,fail,539,unknown,nan,nan,nan
2026-02-08 22:04:58,arm,fail,531,unknown,nan,nan,nan
2026-02-08 22:05:58,arm,fail,533,unknown,nan,nan,nan
2026-02-08 22:06:59,arm,fail,531,unknown,nan,nan,nan
2026-02-08 22:07:59,arm,fail,536,unknown,nan,nan,nan
2026-02-08 22:08:59,arm,fail,529,unknown,nan,nan,nan
2026-02-08 22:09:59,arm,fail,536,unknown,nan,nan,nan
2026-02-08 22:10:27,arm,success,225,red,0.196304,0.154806,0.845000
2026-02-08 22:11:27,arm,fail,521,unknown,nan,nan,nan
2026-02-08 22:12:27,arm,fail,541,unknown,nan,nan,nan
2026-02-08 22:12:53,arm,success,217,blue,0.285025,0.203128,0.845000
2026-02-08 22:13:17,arm,success,190,red,0.246915,0.039156,0.845000
2026-02-08 22:14:17,arm,fail,538,unknown,nan,nan,nan
2026-02-08 22:14:49,arm,success,260,blue,0.251996,0.242895,0.845000
2026-02-08 22:15:49,arm,fail,535,unknown,nan,nan,nan
2026-02-08 22:16:49,arm,fail,532,unknown,nan,nan,nan
2026-02-08 22:17:49,arm,fail,536,unknown,nan,nan,nan
2026-02-08 22:18:49,arm,fail,530,unknown,nan,nan,nan
2026-02-08 22:19:12,arm,success,179,red,0.208764,0.137542,0.845000
2026-02-08 22:19:40,arm,success,228,red,0.186308,0.166701,0.845000
2026-02-08 22:20:05,arm,success,207,blue,0.329201,0.118856,0.845000
2026-02-08 22:21:05,arm,fail,533,unknown,nan,nan,nan
2026-02-08 22:22:05,arm,fail,540,unknown,nan,nan,nan
2026-02-08 22:23:05,arm,fail,528,unknown,nan,nan,nan
2026-02-08 22:24:06,arm,fail,526,unknown,nan,nan,nan
2026-02-08 22:25:06,arm,fail,531,unknown,nan,nan,nan
2026-02-08 22:25:32,arm,success,214,blue,0.309348,0.163719,0.845000
2026-02-08 22:25:57,arm,success,203,red,0.242596,0.060393,0.845000
2026-02-08 22:26:57,arm,fail,536,unknown,nan,nan,nan
2026-02-08 22:27:21,arm,success,195,red,0.238447,0.075121,0.845000
2026-02-08 22:28:21,arm,fail,531,unknown,nan,nan,nan
2026-02-08 22:29:21,arm,fail,535,unknown,nan,nan,nan
2026-02-08 22:29:48,arm,success,218,red,0.211567,0.133190,0.845000
2026-02-08 22:30:14,arm,success,215,red,0.194904,0.156564,0.845000
2026-02-08 22:30:37,arm,success,180,red,0.240149,0.069489,0.845000
2026-02-08 22:31:37,arm,fail,538,unknown,nan,nan,nan
2026-02-08 22:32:37,arm,fail,541,unknown,nan,nan,nan
2026-02-08 22:33:03,arm,success,208,red,0.243534,0.056489,0.845000
2026-02-08 22:34:03,arm,fail,534,unknown,nan,nan,nan
2026-02-08 22:34:30,arm,success,229,blue,0.283475,0.205285,0.845000
2026-02-08 22:35:31,arm,fail,531,unknown,nan,nan,nan
2026-02-08 22:36:31,arm,fail,533,unknown,nan,nan,nan
2026-02-08 22:37:31,arm,fail,526,unknown,nan,nan,nan
2026-02-08 22:38:32,arm,fail,536,unknown,nan,nan,nan
2026-02-08 22:38:59,arm,success,224,blue,0.310845,0.160859,0.845000
2026-02-08 22:39:32,arm,success,270,red,0.226174,0.106514,0.845000
2026-02-08 22:39:56,arm,success,197,red,0.239269,0.072460,0.845000
2026-02-08 22:40:23,arm,success,218,red,0.224833,0.109317,0.845000
2026-02-08 22:41:24,arm,fail,536,unknown,nan,nan,nan
2026-02-08 22:41:45,arm,success,174,red,0.211631,0.133088,0.845000
2026-02-08 22:42:09,arm,success,205,red,0.179820,0.173680,0.845000
2026-02-08 22:43:10,arm,fail,536,unknown,nan,nan,nan
2026-02-08 22:44:10,arm,fail,532,unknown,nan,nan,nan
2026-02-08 22:45:10,arm,fail,536,unknown,nan,nan,nan
2026-02-08 22:46:11,arm,fail,531,unknown,nan,nan,nan
2026-02-08 22:47:11,arm,fail,536,unknown,nan,nan,nan
2026-02-08 22:48:11,arm,fail,531,unknown,nan,nan,nan
2026-02-08 22:49:12,arm,fail,536,unknown,nan,nan,nan
2026-02-08 22:50:12,arm,fail,531,unknown,nan,nan,nan
2026-02-08 22:51:12,arm,fail,526,unknown,nan,nan,nan
2026-02-08 22:52:12,arm,fail,537,unknown,nan,nan,nan
2026-02-08 22:53:12,arm,fail,532,unknown,nan,nan,nan
2026-02-08 22:53:42,arm,success,242,blue,0.251282,0.243634,0.845000
2026-02-08 22:54:42,arm,fail,486,unknown,nan,nan,nan
2026-02-08 22:55:13,arm,success,254,blue,0.253177,0.241663,0.845000
2026-02-08 22:55:44,arm,success,255,blue,0.276105,0.215096,0.845000
2026-02-08 22:56:13,arm,success,240,red,0.216292,0.125371,0.845000
2026-02-08 22:57:14,arm,fail,518,unknown,nan,nan,nan
2026-02-08 22:58:14,arm,fail,546,unknown,nan,nan,nan
2026-02-08 22:59:14,arm,fail,569,unknown,nan,nan,nan
2026-02-08 23:00:14,arm,fail,571,unknown,nan,nan,nan
2026-02-08 23:01:15,arm,fail,576,unknown,nan,nan,nan
2026-02-08 23:02:15,arm,fail,571,unknown,nan,nan,nan
2026-02-08 23:03:15,arm,fail,571,unknown,nan,nan,nan
2026-02-08 23:03:41,arm,success,229,blue,0.285553,0.202385,0.845000
2026-02-08 23:04:08,arm,success,243,blue,0.264927,0.228722,0.845000
2026-02-08 23:05:08,arm,fail,581,unknown,nan,nan,nan
2026-02-08 23:05:30,arm,success,192,blue,0.264762,0.228913,0.845000
2026-02-08 23:06:30,arm,fail,576,unknown,nan,nan,nan
2026-02-08 23:07:30,arm,fail,571,unknown,nan,nan,nan
2026-02-08 23:30:05,arm,fail,571,unknown,nan,nan,nan
2026-02-08 23:31:05,arm,fail,576,unknown,nan,nan,nan
2026-02-08 23:32:05,arm,fail,569,unknown,nan,nan,nan
2026-02-08 23:33:06,arm,fail,566,unknown,nan,nan,nan
2026-02-08 23:33:24,arm,success,170,blue,0.299678,0.180812,0.845000
2026-02-08 23:34:24,arm,fail,571,unknown,nan,nan,nan
2026-02-08 23:34:47,arm,success,201,red,0.234593,0.086407,0.845000
